階層,人数,業種,年,総額
"2,500万円以下",405142,製造業,2015,18239
"2,500万円超",1050726,製造業,2015,24854
100万円以下,285336,製造業,2014,348762
200万円以下,1469531,製造業,2014,967540
300万円以下,3139252,製造業,2014,1243038
400万円以下,5203726,製造業,2014,1482334
500万円以下,6472185,製造業,2014,1445193
600万円以下,6217485,製造業,2014,1134586
700万円以下,5309714,製造業,2014,820005
800万円以下,4291223,製造業,2014,574265
900万円以下,3445529,製造業,2014,407290
"1,000万円以下",2744748,製造業,2014,290065
"1,500万円以下",5506973,製造業,2014,469462
"2,000万円以下",1037781,製造業,2014,61335
"2,500万円以下",321339,製造業,2014,14647
"2,500万円超",844296,製造業,2014,20604
100万円以下,984600,卸売業，小売業,2023,1225637
200万円以下,2062675,卸売業，小売業,2023,1467978
300万円以下,3167140,卸売業，小売業,2023,1282533
400万円以下,3983277,卸売業，小売業,2023,1137187
500万円以下,4675869,卸売業，小売業,2023,1042950
600万円以下,4129362,卸売業，小売業,2023,754413
700万円以下,3220380,卸売業，小売業,2023,497094
800万円以下,2375441,卸売業，小売業,2023,318397
900万円以下,1848913,卸売業，小売業,2023,217230
"1,000万円以下",1511277,卸売業，小売業,2023,159624
"1,500万円以下",2227858,卸売業，小売業,2023,190607
"2,000万円以下",878969,卸売業，小売業,2023,51271
"2,500万円以下",467887,卸売業，小売業,2023,20870
"2,500万円超",969248,卸売業，小売業,2023,23728
100万円以下,910642,卸売業，小売業,2022,1139985
200万円以下,2177800,卸売業，小売業,2022,1526842
300万円以下,3060708,卸売業，小売業,2022,1229158
400万円以下,3794685,卸売業，小売業,2022,1082901
500万円以下,4402358,卸売業，小売業,2022,981903
600万円以下,4083500,卸売業，小売業,2022,743998
700万円以下,2960947,卸売業，小売業,2022,458849
800万円以下,2296841,卸売業，小売業,2022,307768
900万円以下,1612986,卸売業，小売業,2022,190458
"1,000万円以下",1152952,卸売業，小売業,2022,121860
"1,500万円以下",2118749,卸売業，小売業,2022,181574
"2,000万円以下",861098,卸売業，小売業,2022,49866
"2,500万円以下",413243,卸売業，小売業,2022,18336
"2,500万円超",1103199,卸売業，小売業,2022,26841
100万円以下,1023912,卸売業，小売業,2021,1277817
200万円以下,2352498,卸売業，小売業,2021,1656059
300万円以下,3140085,卸売業，小売業,2021,1269889
400万円以下,4301557,卸売業，小売業,2021,1228948
500万円以下,4577762,卸売業，小売業,2021,1020251
600万円以下,4106739,卸売業，小売業,2021,748409
700万円以下,3035623,卸売業，小売業,2021,470098
800万円以下,2272929,卸売業，小売業,2021,304566
900万円以下,1495327,卸売業，小売業,2021,176543
"1,000万円以下",1042163,卸売業，小売業,2021,109959
"1,500万円以下",2284056,卸売業，小売業,2021,189298
"2,000万円以下",982442,卸売業，小売業,2021,56311
"2,500万円以下",408367,卸売業，小売業,2021,18435
"2,500万円超",930972,卸売業，小売業,2021,21896
100万円以下,952633,卸売業，小売業,2020,1200787
200万円以下,2197599,卸売業，小売業,2020,1554820
300万円以下,3204853,卸売業，小売業,2020,1288455
400万円以下,4218120,卸売業，小売業,2020,1203262
500万円以下,4409413,卸売業，小売業,2020,985355
600万円以下,4085731,卸売業，小売業,2020,745443
700万円以下,2699446,卸売業，小売業,2020,417634
800万円以下,1947463,卸売業，小売業,2020,261301
900万円以下,1370058,卸売業，小売業,2020,161985
"1,000万円以下",889621,卸売業，小売業,2020,93979
"1,500万円以下",2101284,卸売業，小売業,2020,177811
"2,000万円以下",839392,卸売業，小売業,2020,48079
"2,500万円以下",399658,卸売業，小売業,2020,17934
"2,500万円超",782594,卸売業，小売業,2020,18310
100万円以下,962248,卸売業，小売業,2019,1203790
200万円以下,2264076,卸売業，小売業,2019,1592389
300万円以下,3200269,卸売業，小売業,2019,1291838
400万円以下,3939745,卸売業，小売業,2019,1121574
500万円以下,4551885,卸売業，小売業,2019,1018031
600万円以下,4024612,卸売業，小売業,2019,733446
700万円以下,2943486,卸売業，小売業,2019,454188
800万円以下,2192480,卸売業，小売業,2019,294452
900万円以下,1463707,卸売業，小売業,2019,173039
"1,000万円以下",978551,卸売業，小売業,2019,103076
"1,500万円以下",1895963,卸売業，小売業,2019,162228
"2,000万円以下",939174,卸売業，小売業,2019,53443
"2,500万円以下",327228,卸売業，小売業,2019,14776
"2,500万円超",880514,卸売業，小売業,2019,21725
100万円以下,914345,卸売業，小売業,2018,1137380
200万円以下,2197271,卸売業，小売業,2018,1546801
300万円以下,2875044,卸売業，小売業,2018,1150741
400万円以下,4038410,卸売業，小売業,2018,1149960
500万円以下,4612823,卸売業，小売業,2018,1030871
600万円以下,4022479,卸売業，小売業,2018,734250
700万円以下,3164152,卸売業，小売業,2018,490202
800万円以下,2027673,卸売業，小売業,2018,272305
900万円以下,1392129,卸売業，小売業,2018,164581
"1,000万円以下",830218,卸売業，小売業,2018,87604
"1,500万円以下",2053128,卸売業，小売業,2018,171908
"2,000万円以下",789385,卸売業，小売業,2018,45958
"2,500万円以下",365805,卸売業，小売業,2018,16658
"2,500万円超",858469,卸売業，小売業,2018,19080
100万円以下,903171,卸売業，小売業,2017,1121946
200万円以下,2112644,卸売業，小売業,2017,1469902
300万円以下,2857742,卸売業，小売業,2017,1148500
400万円以下,3925271,卸売業，小売業,2017,1118420
500万円以下,4304087,卸売業，小売業,2017,961854
600万円以下,3625885,卸売業，小売業,2017,662915
700万円以下,2808528,卸売業，小売業,2017,434912
800万円以下,1959034,卸売業，小売業,2017,263481
900万円以下,1503539,卸売業，小売業,2017,177268
"1,000万円以下",994299,卸売業，小売業,2017,104854
"1,500万円以下",2063953,卸売業，小売業,2017,174745
"2,000万円以下",753193,卸売業，小売業,2017,43649
"2,500万円以下",274664,卸売業，小売業,2017,12372
"2,500万円超",604330,卸売業，小売業,2017,15528
100万円以下,937264,卸売業，小売業,2016,1165418
200万円以下,2208558,卸売業，小売業,2016,1555781
300万円以下,3047448,卸売業，小売業,2016,1220662
400万円以下,4029238,卸売業，小売業,2016,1150835
500万円以下,4349729,卸売業，小売業,2016,969125
600万円以下,3762521,卸売業，小売業,2016,686254
700万円以下,2620690,卸売業，小売業,2016,405862
800万円以下,2006390,卸売業，小売業,2016,269521
900万円以下,1301636,卸売業，小売業,2016,153576
