階層,人数,業種,年,総額
"2,500万円超",13163,電気･ガス･熱供給・水道業,2017,399
100万円以下,10,電気･ガス･熱供給・水道業,2016,11
200万円以下,2051,電気･ガス･熱供給・水道業,2016,1409
300万円以下,6382,電気･ガス･熱供給・水道業,2016,2462
400万円以下,42941,電気･ガス･熱供給・水道業,2016,11848
500万円以下,76176,電気･ガス･熱供給・水道業,2016,16933
600万円以下,126305,電気･ガス･熱供給・水道業,2016,22925
700万円以下,149052,電気･ガス･熱供給・水道業,2016,23177
800万円以下,159121,電気･ガス･熱供給・水道業,2016,21232
900万円以下,214007,電気･ガス･熱供給・水道業,2016,25107
"1,000万円以下",178770,電気･ガス･熱供給・水道業,2016,18928
"1,500万円以下",401933,電気･ガス･熱供給・水道業,2016,34843
"2,000万円以下",44187,電気･ガス･熱供給・水道業,2016,2598
"2,500万円以下",5509,電気･ガス･熱供給・水道業,2016,253
"2,500万円超",6530,電気･ガス･熱供給・水道業,2016,171
100万円以下,305,電気･ガス･熱供給・水道業,2015,317
200万円以下,5570,電気･ガス･熱供給・水道業,2015,3455
300万円以下,19303,電気･ガス･熱供給・水道業,2015,7679
400万円以下,67145,電気･ガス･熱供給・水道業,2015,18845
500万円以下,94248,電気･ガス･熱供給・水道業,2015,20776
600万円以下,134642,電気･ガス･熱供給・水道業,2015,24642
700万円以下,190698,電気･ガス･熱供給・水道業,2015,29589
800万円以下,183821,電気･ガス･熱供給・水道業,2015,24498
900万円以下,216278,電気･ガス･熱供給・水道業,2015,25445
"1,000万円以下",236673,電気･ガス･熱供給・水道業,2015,24976
"1,500万円以下",354046,電気･ガス･熱供給・水道業,2015,31087
"2,000万円以下",36185,電気･ガス･熱供給・水道業,2015,2299
"2,500万円以下",7024,電気･ガス･熱供給・水道業,2015,329
"2,500万円超",11241,電気･ガス･熱供給・水道業,2015,339
100万円以下,3407,電気･ガス･熱供給・水道業,2014,3710
200万円以下,12575,電気･ガス･熱供給・水道業,2014,7813
300万円以下,27965,電気･ガス･熱供給・水道業,2014,11047
400万円以下,82301,電気･ガス･熱供給・水道業,2014,23482
500万円以下,115376,電気･ガス･熱供給・水道業,2014,25542
600万円以下,140551,電気･ガス･熱供給・水道業,2014,25529
700万円以下,172422,電気･ガス･熱供給・水道業,2014,26617
800万円以下,209137,電気･ガス･熱供給・水道業,2014,27910
900万円以下,209232,電気･ガス･熱供給・水道業,2014,24595
"1,000万円以下",257037,電気･ガス･熱供給・水道業,2014,27277
"1,500万円以下",297305,電気･ガス･熱供給・水道業,2014,26334
"2,000万円以下",28620,電気･ガス･熱供給・水道業,2014,1753
"2,500万円以下",3313,電気･ガス･熱供給・水道業,2014,154
"2,500万円超",5089,電気･ガス･熱供給・水道業,2014,143
100万円以下,16804,情報通信業,2023,19233
200万円以下,115614,情報通信業,2023,76806
300万円以下,348270,情報通信業,2023,134740
400万円以下,954639,情報通信業,2023,270511
500万円以下,1542528,情報通信業,2023,341711
600万円以下,1661334,情報通信業,2023,301653
700万円以下,1831558,情報通信業,2023,282946
800万円以下,1561102,情報通信業,2023,208701
900万円以下,1224528,情報通信業,2023,144179
"1,000万円以下",1177492,情報通信業,2023,124360
"1,500万円以下",2364002,情報通信業,2023,200004
"2,000万円以下",715751,情報通信業,2023,42349
"2,500万円以下",193689,情報通信業,2023,8770
"2,500万円超",346675,情報通信業,2023,8791
100万円以下,20768,情報通信業,2022,23444
200万円以下,99995,情報通信業,2022,65050
300万円以下,371176,情報通信業,2022,142520
400万円以下,1076404,情報通信業,2022,303752
500万円以下,1608714,情報通信業,2022,357717
600万円以下,1645703,情報通信業,2022,299666
700万円以下,1581839,情報通信業,2022,244036
800万円以下,1289610,情報通信業,2022,172299
900万円以下,1293978,情報通信業,2022,152236
"1,000万円以下",1047172,情報通信業,2022,110643
"1,500万円以下",2188772,情報通信業,2022,185946
"2,000万円以下",572832,情報通信業,2022,34164
"2,500万円以下",175591,情報通信業,2022,7991
"2,500万円超",359123,情報通信業,2022,8545
100万円以下,23025,情報通信業,2021,26446
200万円以下,89985,情報通信業,2021,60702
300万円以下,367554,情報通信業,2021,143411
400万円以下,1033858,情報通信業,2021,293679
500万円以下,1479576,情報通信業,2021,330754
600万円以下,1579106,情報通信業,2021,288016
700万円以下,1408423,情報通信業,2021,217248
800万円以下,1341972,情報通信業,2021,179176
900万円以下,1044637,情報通信業,2021,123453
"1,000万円以下",951154,情報通信業,2021,100568
"1,500万円以下",1982352,情報通信業,2021,167954
"2,000万円以下",494772,情報通信業,2021,29119
"2,500万円以下",130461,情報通信業,2021,5934
"2,500万円超",302595,情報通信業,2021,7238
100万円以下,23049,情報通信業,2020,26358
200万円以下,117729,情報通信業,2020,77907
300万円以下,382569,情報通信業,2020,147509
400万円以下,1016915,情報通信業,2020,288467
500万円以下,1370008,情報通信業,2020,305043
600万円以下,1418428,情報通信業,2020,258371
700万円以下,1340481,情報通信業,2020,206529
800万円以下,1247041,情報通信業,2020,166735
900万円以下,1013147,情報通信業,2020,119417
"1,000万円以下",775120,情報通信業,2020,81737
"1,500万円以下",1797241,情報通信業,2020,153433
"2,000万円以下",490178,情報通信業,2020,28227
"2,500万円以下",134757,情報通信業,2020,6091
"2,500万円超",249411,情報通信業,2020,6358
100万円以下,27203,情報通信業,2019,30257
200万円以下,119817,情報通信業,2019,79617
300万円以下,418045,情報通信業,2019,164291
400万円以下,911591,情報通信業,2019,258609
500万円以下,1470503,情報通信業,2019,327540
600万円以下,1407323,情報通信業,2019,256269
700万円以下,1330430,情報通信業,2019,205258
800万円以下,1093431,情報通信業,2019,146093
900万円以下,908122,情報通信業,2019,107399
"1,000万円以下",738292,情報通信業,2019,78013
"1,500万円以下",1681762,情報通信業,2019,143224
"2,000万円以下",719389,情報通信業,2019,42259
"2,500万円以下",181362,情報通信業,2019,8168
"2,500万円超",284349,情報通信業,2019,5970
100万円以下,20708,情報通信業,2018,23645
200万円以下,114334,情報通信業,2018,76085
300万円以下,376672,情報通信業,2018,146238
400万円以下,932153,情報通信業,2018,265770
500万円以下,1243201,情報通信業,2018,277311
600万円以下,1477098,情報通信業,2018,268475
700万円以下,1226606,情報通信業,2018,189561
800万円以下,1152075,情報通信業,2018,154067
900万円以下,986428,情報通信業,2018,116462
"1,000万円以下",715859,情報通信業,2018,75429
"1,500万円以下",1600529,情報通信業,2018,135920
"2,000万円以下",557838,情報通信業,2018,32230
"2,500万円以下",143965,情報通信業,2018,6543
"2,500万円超",298667,情報通信業,2018,6187
100万円以下,26228,情報通信業,2017,29665
200万円以下,114938,情報通信業,2017,76174
300万円以下,421865,情報通信業,2017,164527
400万円以下,911708,情報通信業,2017,257277
500万円以下,1246611,情報通信業,2017,277547
600万円以下,1428306,情報通信業,2017,260565
700万円以下,1344839,情報通信業,2017,207966
800万円以下,1202558,情報通信業,2017,160748
900万円以下,992759,情報通信業,2017,117292
"1,000万円以下",692532,情報通信業,2017,72945
"1,500万円以下",1564004,情報通信業,2017,132841
"2,000万円以下",555778,情報通信業,2017,32281
"2,500万円以下",138621,情報通信業,2017,6249
"2,500万円超",246442,情報通信業,2017,6371
100万円以下,24216,情報通信業,2016,27578
200万円以下,133091,情報通信業,2016,86515
300万円以下,391224,情報通信業,2016,152360
400万円以下,930902,情報通信業,2016,264373
500万円以下,1234162,情報通信業,2016,274106
600万円以下,1209430,情報通信業,2016,220100
700万円以下,1135723,情報通信業,2016,175165
800万円以下,980171,情報通信業,2016,131286
900万円以下,788057,情報通信業,2016,93011
"1,000万円以下",612113,情報通信業,2016,64653
"1,500万円以下",1366309,情報通信業,2016,115547
"2,000万円以下",475436,情報通信業,2016,27665
"2,500万円以下",112135,情報通信業,2016,5082
"2,500万円超",192348,情報通信業,2016,5019
100万円以下,29151,情報通信業,2015,33002
200万円以下,124446,情報通信業,2015,81971
300万円以下,408121,情報通信業,2015,162027
400万円以下,843052,情報通信業,2015,238808
500万円以下,1146193,情報通信業,2015,254342
600万円以下,1275419,情報通信業,2015,232257
700万円以下,1155553,情報通信業,2015,177967
800万円以下,1079239,情報通信業,2015,144499
900万円以下,861926,情報通信業,2015,101648
"1,000万円以下",708145,情報通信業,2015,74482
"1,500万円以下",1371549,情報通信業,2015,116953
"2,000万円以下",432623,情報通信業,2015,25541
"2,500万円以下",93899,情報通信業,2015,4229
"2,500万円超",139894,情報通信業,2015,3585
100万円以下,19610,情報通信業,2014,22250
200万円以下,126366,情報通信業,2014,83913
300万円以下,370946,情報通信業,2014,145612
400万円以下,848345,情報通信業,2014,240976
500万円以下,1267471,情報通信業,2014,280189
600万円以下,1411081,情報通信業,2014,256635
700万円以下,1195061,情報通信業,2014,184434
800万円以下,1047694,情報通信業,2014,140157
900万円以下,967296,情報通信業,2014,114542
"1,000万円以下",640238,情報通信業,2014,67819
"1,500万円以下",1618249,情報通信業,2014,137077
"2,000万円以下",505402,情報通信業,2014,29640
"2,500万円以下",161785,情報通信業,2014,7235
"2,500万円超",167186,情報通信業,2014,4162
100万円以下,103577,学術研究，専門・技術サービス業，教育，学習支援業,2023,120660
200万円以下,387684,学術研究，専門・技術サービス業，教育，学習支援業,2023,269962
300万円以下,613525,学術研究，専門・技術サービス業，教育，学習支援業,2023,242800
400万円以下,1240820,学術研究，専門・技術サービス業，教育，学習支援業,2023,351302
500万円以下,1509108,学術研究，専門・技術サービス業，教育，学習支援業,2023,335809
600万円以下,1584450,学術研究，専門・技術サービス業，教育，学習支援業,2023,288708
700万円以下,1312399,学術研究，専門・技術サービス業，教育，学習支援業,2023,202422
800万円以下,1137261,学術研究，専門・技術サービス業，教育，学習支援業,2023,152477
900万円以下,1037337,学術研究，専門・技術サービス業，教育，学習支援業,2023,122258
"1,000万円以下",846294,学術研究，専門・技術サービス業，教育，学習支援業,2023,89063
"1,500万円以下",2517815,学術研究，専門・技術サービス業，教育，学習支援業,2023,210186
"2,000万円以下",549568,学術研究，専門・技術サービス業，教育，学習支援業,2023,31820
"2,500万円以下",189928,学術研究，専門・技術サービス業，教育，学習支援業,2023,8573
"2,500万円超",374501,学術研究，専門・技術サービス業，教育，学習支援業,2023,6872
100万円以下,107602,学術研究，専門・技術サービス業，教育，学習支援業,2022,125672
200万円以下,399993,学術研究，専門・技術サービス業，教育，学習支援業,2022,277520
300万円以下,589398,学術研究，専門・技術サービス業，教育，学習支援業,2022,233704
400万円以下,1189413,学術研究，専門・技術サービス業，教育，学習支援業,2022,337361
500万円以下,1563510,学術研究，専門・技術サービス業，教育，学習支援業,2022,347920
600万円以下,1505595,学術研究，専門・技術サービス業，教育，学習支援業,2022,273900
700万円以下,1339103,学術研究，専門・技術サービス業，教育，学習支援業,2022,206281
800万円以下,1191448,学術研究，専門・技術サービス業，教育，学習支援業,2022,159881
900万円以下,1054555,学術研究，専門・技術サービス業，教育，学習支援業,2022,124119
"1,000万円以下",901224,学術研究，専門・技術サービス業，教育，学習支援業,2022,95369
"1,500万円以下",2230850,学術研究，専門・技術サービス業，教育，学習支援業,2022,192846
"2,000万円以下",627657,学術研究，専門・技術サービス業，教育，学習支援業,2022,37349
"2,500万円以下",168919,学術研究，専門・技術サービス業，教育，学習支援業,2022,7573
"2,500万円超",334251,学術研究，専門・技術サービス業，教育，学習支援業,2022,7069
100万円以下,107211,学術研究，専門・技術サービス業，教育，学習支援業,2021,124443
200万円以下,367542,学術研究，専門・技術サービス業，教育，学習支援業,2021,258182
300万円以下,646403,学術研究，専門・技術サービス業，教育，学習支援業,2021,253352
400万円以下,1301577,学術研究，専門・技術サービス業，教育，学習支援業,2021,367498
500万円以下,1405769,学術研究，専門・技術サービス業，教育，学習支援業,2021,313944
600万円以下,1433912,学術研究，専門・技術サービス業，教育，学習支援業,2021,261194
700万円以下,1196390,学術研究，専門・技術サービス業，教育，学習支援業,2021,184834
800万円以下,952954,学術研究，専門・技術サービス業，教育，学習支援業,2021,127751
900万円以下,888899,学術研究，専門・技術サービス業，教育，学習支援業,2021,104660
"1,000万円以下",708102,学術研究，専門・技術サービス業，教育，学習支援業,2021,74719
"1,500万円以下",1997613,学術研究，専門・技術サービス業，教育，学習支援業,2021,166908
"2,000万円以下",500010,学術研究，専門・技術サービス業，教育，学習支援業,2021,29163
"2,500万円以下",173673,学術研究，専門・技術サービス業，教育，学習支援業,2021,7927
"2,500万円超",312756,学術研究，専門・技術サービス業，教育，学習支援業,2021,7917
100万円以下,127194,学術研究，専門・技術サービス業，教育，学習支援業,2020,149354
200万円以下,424085,学術研究，専門・技術サービス業，教育，学習支援業,2020,300329
300万円以下,661502,学術研究，専門・技術サービス業，教育，学習支援業,2020,260228
400万円以下,1170327,学術研究，専門・技術サービス業，教育，学習支援業,2020,334696
500万円以下,1427359,学術研究，専門・技術サービス業，教育，学習支援業,2020,318361
600万円以下,1476429,学術研究，専門・技術サービス業，教育，学習支援業,2020,270772
700万円以下,1148984,学術研究，専門・技術サービス業，教育，学習支援業,2020,177577
800万円以下,1002269,学術研究，専門・技術サービス業，教育，学習支援業,2020,134349
900万円以下,869459,学術研究，専門・技術サービス業，教育，学習支援業,2020,102370
"1,000万円以下",760592,学術研究，専門・技術サービス業，教育，学習支援業,2020,80060
"1,500万円以下",2038883,学術研究，専門・技術サービス業，教育，学習支援業,2020,171379
"2,000万円以下",447693,学術研究，専門・技術サービス業，教育，学習支援業,2020,26024
"2,500万円以下",123381,学術研究，専門・技術サービス業，教育，学習支援業,2020,5554
"2,500万円超",232071,学術研究，専門・技術サービス業，教育，学習支援業,2020,5806
100万円以下,128385,学術研究，専門・技術サービス業，教育，学習支援業,2019,151313
200万円以下,363996,学術研究，専門・技術サービス業，教育，学習支援業,2019,256710
300万円以下,699961,学術研究，専門・技術サービス業，教育，学習支援業,2019,276190
400万円以下,1266157,学術研究，専門・技術サービス業，教育，学習支援業,2019,361544
500万円以下,1401171,学術研究，専門・技術サービス業，教育，学習支援業,2019,312305
600万円以下,1379911,学術研究，専門・技術サービス業，教育，学習支援業,2019,251696
700万円以下,1140458,学術研究，専門・技術サービス業，教育，学習支援業,2019,176248
800万円以下,1117955,学術研究，専門・技術サービス業，教育，学習支援業,2019,149318
900万円以下,874393,学術研究，専門・技術サービス業，教育，学習支援業,2019,102890
"1,000万円以下",844535,学術研究，専門・技術サービス業，教育，学習支援業,2019,89165
"1,500万円以下",2165009,学術研究，専門・技術サービス業，教育，学習支援業,2019,181710
"2,000万円以下",607968,学術研究，専門・技術サービス業，教育，学習支援業,2019,36123
"2,500万円以下",139347,学術研究，専門・技術サービス業，教育，学習支援業,2019,6267
"2,500万円超",209657,学術研究，専門・技術サービス業，教育，学習支援業,2019,5251
100万円以下,98242,学術研究，専門・技術サービス業，教育，学習支援業,2018,113392
200万円以下,311353,学術研究，専門・技術サービス業，教育，学習支援業,2018,220440
300万円以下,570504,学術研究，専門・技術サービス業，教育，学習支援業,2018,224611
400万円以下,1020134,学術研究，専門・技術サービス業，教育，学習支援業,2018,290378
500万円以下,1170645,学術研究，専門・技術サービス業，教育，学習支援業,2018,261994
600万円以下,1100341,学術研究，専門・技術サービス業，教育，学習支援業,2018,200813
700万円以下,1008337,学術研究，専門・技術サービス業，教育，学習支援業,2018,156173
800万円以下,876212,学術研究，専門・技術サービス業，教育，学習支援業,2018,117432
900万円以下,694178,学術研究，専門・技術サービス業，教育，学習支援業,2018,81964
"1,000万円以下",593387,学術研究，専門・技術サービス業，教育，学習支援業,2018,62584
"1,500万円以下",1631019,学術研究，専門・技術サービス業，教育，学習支援業,2018,136755
"2,000万円以下",297945,学術研究，専門・技術サービス業，教育，学習支援業,2018,17689
"2,500万円以下",85462,学術研究，専門・技術サービス業，教育，学習支援業,2018,3812
"2,500万円超",145560,学術研究，専門・技術サービス業，教育，学習支援業,2018,3721
100万円以下,94511,学術研究，専門・技術サービス業，教育，学習支援業,2017,110181
200万円以下,310927,学術研究，専門・技術サービス業，教育，学習支援業,2017,214578
300万円以下,619694,学術研究，専門・技術サービス業，教育，学習支援業,2017,243987
400万円以下,1046250,学術研究，専門・技術サービス業，教育，学習支援業,2017,298023
500万円以下,1198434,学術研究，専門・技術サービス業，教育，学習支援業,2017,266413
600万円以下,1130393,学術研究，専門・技術サービス業，教育，学習支援業,2017,205930
700万円以下,1029986,学術研究，専門・技術サービス業，教育，学習支援業,2017,158674
800万円以下,922899,学術研究，専門・技術サービス業，教育，学習支援業,2017,123929
900万円以下,787595,学術研究，専門・技術サービス業，教育，学習支援業,2017,92925
"1,000万円以下",672415,学術研究，専門・技術サービス業，教育，学習支援業,2017,70860
"1,500万円以下",1672173,学術研究，専門・技術サービス業，教育，学習支援業,2017,141534
"2,000万円以下",393466,学術研究，専門・技術サービス業，教育，学習支援業,2017,23389
"2,500万円以下",119654,学術研究，専門・技術サービス業，教育，学習支援業,2017,5360
"2,500万円超",123046,学術研究，専門・技術サービス業，教育，学習支援業,2017,3208
100万円以下,100885,学術研究，専門・技術サービス業，教育，学習支援業,2016,116727
200万円以下,369693,学術研究，専門・技術サービス業，教育，学習支援業,2016,253489
300万円以下,670553,学術研究，専門・技術サービス業，教育，学習支援業,2016,263998
400万円以下,1160467,学術研究，専門・技術サービス業，教育，学習支援業,2016,332735
500万円以下,1197973,学術研究，専門・技術サービス業，教育，学習支援業,2016,266520
600万円以下,1139975,学術研究，専門・技術サービス業，教育，学習支援業,2016,207692
700万円以下,995814,学術研究，専門・技術サービス業，教育，学習支援業,2016,153644
800万円以下,911251,学術研究，専門・技術サービス業，教育，学習支援業,2016,121533
900万円以下,732206,学術研究，専門・技術サービス業，教育，学習支援業,2016,86417
"1,000万円以下",756888,学術研究，専門・技術サービス業，教育，学習支援業,2016,79864
"1,500万円以下",1727197,学術研究，専門・技術サービス業，教育，学習支援業,2016,144790
"2,000万円以下",381129,学術研究，専門・技術サービス業，教育，学習支援業,2016,22681
"2,500万円以下",117373,学術研究，専門・技術サービス業，教育，学習支援業,2016,5483
"2,500万円超",134497,学術研究，専門・技術サービス業，教育，学習支援業,2016,3390
100万円以下,83324,学術研究，専門・技術サービス業，教育，学習支援業,2015,98110
200万円以下,312519,学術研究，専門・技術サービス業，教育，学習支援業,2015,214056
300万円以下,570141,学術研究，専門・技術サービス業，教育，学習支援業,2015,224562
400万円以下,1003942,学術研究，専門・技術サービス業，教育，学習支援業,2015,289302
500万円以下,1026546,学術研究，専門・技術サービス業，教育，学習支援業,2015,228612
600万円以下,1093785,学術研究，専門・技術サービス業，教育，学習支援業,2015,198739
700万円以下,916309,学術研究，専門・技術サービス業，教育，学習支援業,2015,141204
800万円以下,808997,学術研究，専門・技術サービス業，教育，学習支援業,2015,108324
900万円以下,677425,学術研究，専門・技術サービス業，教育，学習支援業,2015,80270
"1,000万円以下",578311,学術研究，専門・技術サービス業，教育，学習支援業,2015,61207
"1,500万円以下",1671667,学術研究，専門・技術サービス業，教育，学習支援業,2015,141576
"2,000万円以下",286865,学術研究，専門・技術サービス業，教育，学習支援業,2015,17106
"2,500万円以下",65131,学術研究，専門・技術サービス業，教育，学習支援業,2015,2991
"2,500万円超",96777,学術研究，専門・技術サービス業，教育，学習支援業,2015,2538
100万円以下,81778,学術研究，専門・技術サービス業，教育，学習支援業,2014,94654
200万円以下,298101,学術研究，専門・技術サービス業，教育，学習支援業,2014,205271
300万円以下,613885,学術研究，専門・技術サービス業，教育，学習支援業,2014,241852
400万円以下,984636,学術研究，専門・技術サービス業，教育，学習支援業,2014,281481
500万円以下,1021440,学術研究，専門・技術サービス業，教育，学習支援業,2014,227007
600万円以下,1067711,学術研究，専門・技術サービス業，教育，学習支援業,2014,195098
700万円以下,951962,学術研究，専門・技術サービス業，教育，学習支援業,2014,146318
800万円以下,916333,学術研究，専門・技術サービス業，教育，学習支援業,2014,122551
900万円以下,730382,学術研究，専門・技術サービス業，教育，学習支援業,2014,86332
"1,000万円以下",585928,学術研究，専門・技術サービス業，教育，学習支援業,2014,61849
"1,500万円以下",1798772,学術研究，専門・技術サービス業，教育，学習支援業,2014,151623
"2,000万円以下",309157,学術研究，専門・技術サービス業，教育，学習支援業,2014,18363
"2,500万円以下",74563,学術研究，専門・技術サービス業，教育，学習支援業,2014,3346
"2,500万円超",157280,学術研究，専門・技術サービス業，教育，学習支援業,2014,3895
100万円以下,406641,医療，福祉,2023,469019
200万円以下,1561414,医療，福祉,2023,1106769
300万円以下,3037148,医療，福祉,2023,1192518
400万円以下,6090400,医療，福祉,2023,1737916
500万円以下,6073874,医療，福祉,2023,1365369
600万円以下,3770996,医療，福祉,2023,692448
700万円以下,2191661,医療，福祉,2023,340579
800万円以下,1061527,医療，福祉,2023,143021
900万円以下,725058,医療，福祉,2023,85597
"1,000万円以下",503151,医療，福祉,2023,52683
"1,500万円以下",994169,医療，福祉,2023,81175
"2,000万円以下",1214143,医療，福祉,2023,68127
"2,500万円以下",749818,医療，福祉,2023,33730
"2,500万円超",1515199,医療，福祉,2023,37277
100万円以下,380806,医療，福祉,2022,439175
200万円以下,1540104,医療，福祉,2022,1100190
300万円以下,3113525,医療，福祉,2022,1220427
400万円以下,6009166,医療，福祉,2022,1710105
500万円以下,6204112,医療，福祉,2022,1394622
600万円以下,3802344,医療，福祉,2022,698794
700万円以下,2112030,医療，福祉,2022,328029
800万円以下,1193222,医療，福祉,2022,159567
900万円以下,686220,医療，福祉,2022,81237
"1,000万円以下",412270,医療，福祉,2022,43392
"1,500万円以下",1208834,医療，福祉,2022,98755
"2,000万円以下",1328775,医療，福祉,2022,74836
"2,500万円以下",738301,医療，福祉,2022,33177
"2,500万円超",1587868,医療，福祉,2022,39092
100万円以下,425038,医療，福祉,2021,487637
200万円以下,1580001,医療，福祉,2021,1124630
300万円以下,3233580,医療，福祉,2021,1261610
400万円以下,6209587,医療，福祉,2021,1770287
500万円以下,5729343,医療，福祉,2021,1286686
600万円以下,3536677,医療，福祉,2021,649356
700万円以下,1963323,医療，福祉,2021,304470
800万円以下,1125174,医療，福祉,2021,151347
900万円以下,563440,医療，福祉,2021,66371
"1,000万円以下",379958,医療，福祉,2021,39965
"1,500万円以下",1202806,医療，福祉,2021,98818
"2,000万円以下",1483867,医療，福祉,2021,82857
"2,500万円以下",816220,医療，福祉,2021,36653
"2,500万円超",1578376,医療，福祉,2021,37918
100万円以下,382106,医療，福祉,2020,440462
200万円以下,1442291,医療，福祉,2020,1015438
300万円以下,3102457,医療，福祉,2020,1217280
400万円以下,5644864,医療，福祉,2020,1610472
500万円以下,5303608,医療，福祉,2020,1190604
600万円以下,3367163,医療，福祉,2020,618129
700万円以下,1612101,医療，福祉,2020,250763
800万円以下,1048168,医療，福祉,2020,140802
900万円以下,591742,医療，福祉,2020,70039
"1,000万円以下",289996,医療，福祉,2020,30458
"1,500万円以下",906784,医療，福祉,2020,74119
"2,000万円以下",1193004,医療，福祉,2020,68017
"2,500万円以下",628771,医療，福祉,2020,28082
"2,500万円超",1233578,医療，福祉,2020,27844
100万円以下,420646,医療，福祉,2019,477584
200万円以下,1507457,医療，福祉,2019,1066370
300万円以下,3081770,医療，福祉,2019,1210466
400万円以下,5771580,医療，福祉,2019,1650178
500万円以下,5107749,医療，福祉,2019,1147380
600万円以下,3280495,医療，福祉,2019,602166
700万円以下,1885337,医療，福祉,2019,291924
800万円以下,1142686,医療，福祉,2019,153254
900万円以下,547331,医療，福祉,2019,64841
"1,000万円以下",443441,医療，福祉,2019,46711
"1,500万円以下",1120044,医療，福祉,2019,92242
"2,000万円以下",1347321,医療，福祉,2019,75550
"2,500万円以下",694235,医療，福祉,2019,31221
"2,500万円超",1433976,医療，福祉,2019,35633
100万円以下,374754,医療，福祉,2018,433690
200万円以下,1333528,医療，福祉,2018,942054
300万円以下,3132821,医療，福祉,2018,1232256
400万円以下,5690146,医療，福祉,2018,1625781
500万円以下,4823818,医療，福祉,2018,1083797
600万円以下,3094749,医療，福祉,2018,568633
700万円以下,1733661,医療，福祉,2018,268800
800万円以下,988189,医療，福祉,2018,133094
900万円以下,525140,医療，福祉,2018,61786
"1,000万円以下",280225,医療，福祉,2018,29584
"1,500万円以下",977474,医療，福祉,2018,79394
"2,000万円以下",1147951,医療，福祉,2018,65145
"2,500万円以下",618026,医療，福祉,2018,27826
"2,500万円超",1377115,医療，福祉,2018,32644
100万円以下,343887,医療，福祉,2017,393145
200万円以下,1224514,医療，福祉,2017,867400
300万円以下,3044133,医療，福祉,2017,1193151
400万円以下,5167151,医療，福祉,2017,1476419
500万円以下,4590050,医療，福祉,2017,1030443
600万円以下,2712604,医療，福祉,2017,497710
700万円以下,1395242,医療，福祉,2017,216020
800万円以下,941236,医療，福祉,2017,126510
900万円以下,528604,医療，福祉,2017,62752
"1,000万円以下",319637,医療，福祉,2017,33696
"1,500万円以下",964477,医療，福祉,2017,78070
"2,000万円以下",1018994,医療，福祉,2017,57419
"2,500万円以下",680421,医療，福祉,2017,30337
"2,500万円超",1370532,医療，福祉,2017,31206
100万円以下,358754,医療，福祉,2016,411050
200万円以下,1311457,医療，福祉,2016,918597
300万円以下,3050463,医療，福祉,2016,1197723
400万円以下,5046120,医療，福祉,2016,1447800
500万円以下,4170250,医療，福祉,2016,937223
600万円以下,2555029,医療，福祉,2016,468717
700万円以下,1427659,医療，福祉,2016,221697
800万円以下,878363,医療，福祉,2016,117896
900万円以下,521622,医療，福祉,2016,61489
"1,000万円以下",304336,医療，福祉,2016,31903
"1,500万円以下",949577,医療，福祉,2016,76462
"2,000万円以下",1041825,医療，福祉,2016,59688
"2,500万円以下",661598,医療，福祉,2016,30006
"2,500万円超",1030624,医療，福祉,2016,26224
100万円以下,352095,医療，福祉,2015,403897
200万円以下,1303545,医療，福祉,2015,914281
300万円以下,3089950,医療，福祉,2015,1217800
400万円以下,4902488,医療，福祉,2015,1408915
500万円以下,3868953,医療，福祉,2015,869427
600万円以下,2443125,医療，福祉,2015,448281
700万円以下,1511483,医療，福祉,2015,234663
800万円以下,887282,医療，福祉,2015,118765
900万円以下,465587,医療，福祉,2015,54966
"1,000万円以下",291928,医療，福祉,2015,30621
"1,500万円以下",895031,医療，福祉,2015,72517
"2,000万円以下",1170319,医療，福祉,2015,66773
"2,500万円以下",525341,医療，福祉,2015,23774
"2,500万円超",1180421,医療，福祉,2015,29479
100万円以下,362186,医療，福祉,2014,411177
200万円以下,1260857,医療，福祉,2014,882949
300万円以下,3204807,医療，福祉,2014,1267204
400万円以下,4629695,医療，福祉,2014,1331228
500万円以下,3643830,医療，福祉,2014,815892
600万円以下,2312453,医療，福祉,2014,423589
700万円以下,1428995,医療，福祉,2014,221760
800万円以下,779760,医療，福祉,2014,105226
900万円以下,505719,医療，福祉,2014,59719
"1,000万円以下",283696,医療，福祉,2014,29772
"1,500万円以下",845229,医療，福祉,2014,69011
"2,000万円以下",886005,医療，福祉,2014,50613
"2,500万円以下",491222,医療，福祉,2014,22068
"2,500万円超",1152835,医療，福祉,2014,28121
100万円以下,46845,複合サービス事業,2023,57003
200万円以下,113685,複合サービス事業,2023,72981
300万円以下,199731,複合サービス事業,2023,80073
400万円以下,344050,複合サービス事業,2023,97821
500万円以下,621980,複合サービス事業,2023,139192
600万円以下,524340,複合サービス事業,2023,94659
700万円以下,740345,複合サービス事業,2023,115254
800万円以下,782466,複合サービス事業,2023,104605
900万円以下,604226,複合サービス事業,2023,70764
"1,000万円以下",518533,複合サービス事業,2023,54219
"1,500万円以下",368653,複合サービス事業,2023,34625
"2,000万円以下",25085,複合サービス事業,2023,1608
"2,500万円以下",12239,複合サービス事業,2023,593
"2,500万円超",37379,複合サービス事業,2023,309
100万円以下,29613,複合サービス事業,2022,36342
200万円以下,117604,複合サービス事業,2022,80021
300万円以下,210723,複合サービス事業,2022,83541
400万円以下,370066,複合サービス事業,2022,105067
500万円以下,540398,複合サービス事業,2022,122884
600万円以下,636138,複合サービス事業,2022,115256
